idx,title,text,rating,true,pred,correct,emotion,raw,nrc_emotion,nrc_score,llm_emotion_clean
44,Told How To Pay,"Buy e-books when an e-gift card is loaded to your account, and that is how you are going to be forced to pay for it. Doesn't matter if you have a bonus category credit card you'd prefer to use.",1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",trust,4,anger
45,""" FROM WHO ??? """,No Message of To /From ! Left in Drive Way ! Process seems poorly set up !,3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
46,Well.  It’s my money so it’s pretty cool.,I used my own money to add to.. my......  own account.  I mean...  I guess this is a reviewable item?,5.0,POSITIVE,NEUTRAL,False,surprise,"{""sentiment"": ""NEUTRAL"", ""emotion"": ""surprise""}",surprise,2,surprise
47,Fast shipping!,"Fast shipping! Great, easy gift for last minute. My dad loved receiving this.",5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",anticipation,2,joy
48,Easy to do but very slow.,Worked well but it was very slow took several days to show the balance.,3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",trust,1,anger
49,Perfect to give as gift,"It's a gift card....,what more is there to say ?",5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",anticipation,1,joy
50,amount of gift card not printed,The amount of the gift was not printed on the card so I enclosed a note.  Past orders have had the amount on the card.  The graduation box is great.,3.0,NEUTRAL,NEGATIVE,False,sadness,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""sadness""}",anticipation,2,sadness
51,Just what I wanted,Came fast and as expected.,5.0,POSITIVE,POSITIVE,True,trust,"{""sentiment"": ""POSITIVE"", ""emotion"": ""trust""}",anticipation,1,trust
52,Gift message not included.,I ordered this as a graduation gift and wrote my gift note to be included with the package and it was not included. Very disappointing,3.0,NEUTRAL,NEGATIVE,False,sadness,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""sadness""}",anticipation,3,sadness
53,Money getter,It’s difficult,1.0,NEGATIVE,NEGATIVE,True,sadness,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""sadness""}",fear,1,sadness
54,Perfect gift,This was a perfect gift for my granddaughter.,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",anticipation,2,joy
55,"If you're a patient person who doesn't mind, confusing, complicated, & difficult transactions, these are the giftcards for you!","Be prepared that very few people at Hyatt know how these giftcards work.  I've tried to use several giftcards at several locations on several different occasions, and each time, every Hyatt employee I've encountered (over the phone or in person) have to put me on hold and call corporate to figure out how to redeem them.  I'm literally sitting on hold right now trying to book an advanced reservation with one now and they can't seem to figure out how to apply a $100 gift card to a $500 reservation.  (15 minutes and counting).  This is the third time I've tried to use it.  The answer I just received is &#34;you can't use a gift card on an advanced booking rate&#34;----different answers with different hotels.  When I call the same hotel later tonight, I will get a different answer.  At a different hotel 2 months ago, they nearly lost their minds because first they said you couldn't use them in international hotels (wrong) and then they said you can only use one gift card per stay (also wrong---after calling corporate for 1 hour, they took them all).  Long story short:  you will experience resistance, confusion, and stress every time you try to use one---especially if you try to use more than one.  One thing to keep in mind:  The FULL balance of your giftcard has to be used---ie:  if you have a $200 balance and your booking is only $100, you will not be able to use the giftcard.  Your giftcard will pay for anything on your folio, however (ie:  spa treatments, meals, room service, etc).  Hope this helps.",3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,11,anger
56,Issued unload and activated,I am not impressed to say the least.... ordered 2 and one came not loaded or activated. Quite embarrassing when it was given as a gift. Should be a simple task to activate and send?  Customer severe couldn't correct the problem,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,1,anger
57,Poop,Make it easier to find the amount on gift cards,1.0,NEGATIVE,NEGATIVE,True,disgust,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""disgust""}",anticipation,1,disgust
58,No activation code sent.,Not able to use the Master Card $25.00 card without the activation code.<br />Would just like to get the code so it can be used.<br />So far no communication at all.,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",trust,1,anger
59,Baby gift card,I wish Amazon had a metal gift box for baby gift cards like they do for birthdays.,3.0,NEUTRAL,NEUTRAL,True,anticipation,"{""sentiment"": ""NEUTRAL"", ""emotion"": ""anticipation""}",joy,3,anticipation
60,Five Stars,Fast shipping and great for a gift idea.,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",anticipation,1,joy
61,Not ok,When it got to me after paying $105 there was no money on it,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anger,1,anger
62,Complete scam,This was the worst gift card I bought for anyone. I got it for a friend and upon verifying it and buying a cup of coffee and the rest of the money was PayPaled to someone’s account!!!<br />Be careful!!<br /><br />NEVER BUYING AGAIN AND WONT RECOMMEND<br />TRIED CALLING THE NUMBER ON THE BACK AND EMAILING WITH NO USE,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",trust,4,anger
63,Payless is in Bankrupty - the gift card cannot be used online,"I purchased a $25.00  Payless Gift card for a relative as part of her Birthday gift. There was no attempt to use this card until approximately one month ago. My relative began searching for shoes online and found several pairs of shoes that she liked and was ready to order when she noticed that Payless did &#34;not&#34; have the option to use its gift card for a purchase.  We felt that this was a glitch or technical issue with the website that went on for several weeks.  During the middle of last week, my relative found 4 pairs of shoes that she wanted to order using the gift card and her Visa but she could not because there was &#34;still&#34; no option to enter Payless Gift Card information.  My relative called customer service to find out if they could place a phone order for the online order.  The answer was a clear &#34;No. 'She kept waiting and attempting until finally calling Customer Service yesterday.  The representative was rude and did not offer any remedy for the situation.  My relative went into Payless in our town 2X's attempting to find the same style without success except for one of the pairs of shoes which would have cost much more in the store.  Online there was an initial sale plus she had a code to use for another 20% off.  These discounts were not available in the brick and mortar store.  It should not have been this difficult for Payless to turn this situation around.  The Payless Gift Card clearly states that it can be used in store and online.",1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,15,anger
64,Three Stars,ok,3.0,NEUTRAL,NEUTRAL,True,trust,"{""sentiment"": ""NEUTRAL"", ""emotion"": ""trust""}",,0,trust
65,outback going downhill,seating was torn with stuffing sticking out . steak was tough and inedible . Shrimp was floating in grease,1.0,NEGATIVE,NEGATIVE,True,disgust,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""disgust""}",sadness,1,disgust
66,I am not get $5 gift for my first gift card,I am not get $5 gift for my first gift card,3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,2,anger
67,Five Stars,Very easy to do,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",,0,joy
68,A gift for my daughter,Purchased for a gift for my daughter for Mother's day. She received it ok. No problem.,1.0,NEGATIVE,NEUTRAL,False,trust,"{""sentiment"": ""NEUTRAL"", ""emotion"": ""trust""}",joy,2,trust
69,No se a podido utilizar,Nose que paso que  el primer día apareció el saldo y luego se desapareció,3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",disgust,1,anger
70,Easy,Very easy to use,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",,0,joy
71,Zero Balance Cards,I ordered a large qty of these cards for holiday gifts for clients. All the cards from my order have come up as invalid when trying to be redeemed by my clients. I have contacted Amazon customer service multiple times and have not received any follow up on having this issue resolved or credited.,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,1,anger
72,Easy,Very convent in emergency’s,5.0,POSITIVE,POSITIVE,True,trust,"{""sentiment"": ""POSITIVE"", ""emotion"": ""trust""}",fear,1,trust
73,Great gift,Many choices for use,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",,0,joy
74,Cannot use for all Amazon services!!,"This card was purchased for the purpose of paying my Prime subscription and Prime Video Channels monthly fee.  Although I had enough on my gift card to cover the fees, my subscriptions were suspended because the fees must be paid by credit card or check.  Really???  This doesn't make sense, but I confirmed it while chatting with an Amazon rep.  I'd like to know the reasoning behind this decision.",3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",trust,3,anger
75,Make sure you order the gift card of your choice,"Cute Amazon box, but not the gift box I chose<br />I ordered the gold gift box with gift card as a wedding anniversary gift for someone.<br />I ended up with a plain cute smile mail box instead. there was no gift receipt in the box so they had no idea who sent it. The gift card did work though.",3.0,NEUTRAL,NEGATIVE,False,sadness,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""sadness""}",anticipation,7,sadness
76,Perfect gift,Love sending gift cards to people for different holidays<br />Gets there fast,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",joy,2,joy
77,Where Was The Personal Message?,"It is a gift card so there is not a lot to review there.  However, it has you fill out a section for the personal note which I did on two cards that I bought, nothing showed up. What was the point in having me fill out that section if they were not going to bother putting the note on there?. I had the cards shipped to me and then sent them out.  If they had gone straight to the giftee, they would not have had a clue who they were from.  So those shipping to the receiptant beward of that!  Other than that, they are cute cards and were shipped next day.  They were much appreicated after I wrote the personal message myself!",3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",trust,4,anger
78,Card doesn't work,Issue with cards not working.,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
79,Debit over credit gift card ?,Limited use,3.0,NEUTRAL,NEGATIVE,False,sadness,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""sadness""}",anger,1,sadness
80,Five Stars,Love It!,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",joy,1,joy
81,Not recommended at all.,Not recommended at all.,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
82,Red Robin has poor customer service,"Received gift card from my daughter, followed instructions on gift card and took the card to the red robin and presented to cashier would not accept card, who then called manager who said I needed a pin number. I called amazon who intern gave me a number to call at red robin, who forward to me of two more more numbers to call at red robin with the same results, no call back or no one helpful to resolve this problem. Red Robin has poor customer service.",1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",joy,4,anger
83,Easy to use,Easy to use and send.,3.0,NEUTRAL,POSITIVE,False,trust,"{""sentiment"": ""POSITIVE"", ""emotion"": ""trust""}",,0,trust
84,Lost $100.00,It did not work. I lost the money. Lost,3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",sadness,2,anger
85,arrived damaged,"The card box arrived squished. The corner of the box is ripped. The card inside is made out of carton, not plastic and there is no value printed on the card.",2.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
86,Beautiful gold box,[[VIDEOID:9098c02c1b448bb11a86ec1623915b01]] Makes gift card a gift,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",anticipation,2,joy
87,If it is a gift maybe go into the store,"The gift card works fine and the convenience was amazing. The condition of the gift card after it arrived....not so much. To use my daughters words, they dropped it on the ground and then walked on it all day, picked it up and shoved it in the packaging without even wiping it off.",2.0,NEGATIVE,NEGATIVE,True,disgust,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""disgust""}",anticipation,2,disgust
88,Don't order multiple cards at the same time,"Stick to one card per order. I ordered 5. They don't list the value on the card or the packaging, so you can't tell which is which. There was also no packing slip giving me any information. The gift card packaging says ""To check the purchased value of the gift card(s), simply match the last 4 digits of the serial number on the back of the gift card to those listed on www.amazon.com/yourorders."". When going into ""your orders"" on the app or the mobile website, the information is not available. It doesn't give a breakdown of each Amazon card individually. You must visit the website on a laptop or desktop to access the info. Please simplify this process.",2.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,6,anger
89,Box Review,This review is for the gift box. It is beautiful but very hard to open. I ordered two of them and both had the same issue. You have to force them open and then it is very difficult to get the box to fit back together.,3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",fear,2,anger
90,Three Stars,Little disappointed because the movie could only be used at one location In Oklahoma city,3.0,NEUTRAL,NEGATIVE,False,sadness,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""sadness""}",anger,1,sadness
91,Five Stars,"Quickly received, no surprises",5.0,POSITIVE,POSITIVE,True,trust,"{""sentiment"": ""POSITIVE"", ""emotion"": ""trust""}",,0,trust
92,It's a gift card.......,Like I said - It's a gift card.......,3.0,NEUTRAL,NEUTRAL,True,trust,"{""sentiment"": ""NEUTRAL"", ""emotion"": ""trust""}",anticipation,1,trust
93,LOVE this unique way to give a gift card.,Not only can you get someone a gift card - but it comes with an additional gift - a felt ornament. Getting Christmas gifts for extended family is so time consuming and wasteful. Gift cards & the ability to buy literally anything on Amazon is so convenient and appreciated by people. Definitely recommend this one out of other available cards because it comes with a cute ornament that looks great on a tree!,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",anticipation,5,joy
94,Issue in distinguishing,"I ordered few cards of $25 and few of $50, all looks alike and came in same package. How to distinguish?",4.0,POSITIVE,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
95,Slow Shipping,"It’s a gift card so nothing to really rate, but I’m withholding 2 stars because shipping took forever.",3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,1,anger
96,One Star,"Showed up not loaded, Amazin could care less!",1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
97,getting out,i got into a nightmare. once you are in - you are in. it goes against my will. i want out and it seems impossible. enter at your own risk,1.0,NEGATIVE,NEGATIVE,True,fear,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""fear""}",fear,2,fear
98,Yummm,Kids love Red Robin.,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",joy,1,joy
99,Snow Flake Gift Box,The snow flake gift box (and the gift card inside!) got a big smile from my nephew when we opened it at Christmas.,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",joy,3,joy
100,Gift card that arrived had zero balance,When the recipient of this card attempted to use it there was zero balance on it and the gift card was not able to be used.,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,2,anger
101,Need to know who the gift is for and who it's from,"A gift card is relatively easy gift to provide.  The only real issue is to know who it's going to and who it's from.  I recently sent my 6 year old grand niece a gift card.  When I sent the gift card I marked it as a gift and added a note.  There are multiple birthdays in this month, but unfortunately when the gift card arrived, no one was able to determine who the gift card was for or who it came from.  Something so simple, but messed up.  We asked her mom if they had received it and she said yes, but they too did not know who it was for or who sent it.  In the end, the mystery was solved, but a little more attention to details would  be nice.",2.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,8,anger
102,"THIEVES! Steal your money for ""not activated""","Took my money instantly. ""Not activated."" Zero help from Amazon, sent me to various departments. Talked with sweet people, who have no answers. READ the reviews. These people are telling the truth. NO response from Texas Roadhouse. WASTE OF MONEY and I'm angry.",1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",trust,4,anger
103,came damaged,"The gift card came dinged and damaged, no way was suitable for gift giving. It was shipped in a box so it was damaged before I even got it so poor quality control. I ended up using it myself and bought a new one at a local store in better shape for the gift.",3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,4,anger
104,Love it',Like,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",,0,joy
105,VERY DISSAPOINTED IN AMAZON,Dont buy gift cards from Amazon.  I tried all five of the cards and  the  16 numbers if each if five  cards COULD NOT BE SCANNED OR ENTERED.  GIFT CARDS ARENT RETURNABLE TO AMAZON.<br />The reveal card is great but the gift card doesnt work.,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,3,anger
106,Nice little tin box,"It comes with a nice little tin box which can be used for other stuff (i.e. card storage, etc)",5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",,0,joy
107,Gift Card,We love Roosters!,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",joy,1,joy
108,I made a selection error but tried to change it ...,"I made a selection error but tried to change it but unable to, so I was not able to take advantage of the offer.",2.0,NEGATIVE,NEGATIVE,True,sadness,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""sadness""}",sadness,2,sadness
109,Card did not come with the note I requested.,"Card did not come with the note I requested, and small corner of peel off section to reveal code is missing, not sure why.  And the card does not indicate how much is on it.  It is a gift for someone so all the above is very annoying, and not good customer service.  Seems to be no way to check the value of the card (making sure it actually has the value stated loaded on it), before I give to the recipient.  Amazon just seems to have option to load it on to my own account which I do not want to do.",3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,3,anger
